ShipperID,Name,City,State,Zip,ContactEmail,CreditStatus
89,Dune Buggy Parts,Louisville,KY,40210,shipping@dunebuggyparts.example,OK
90,Echo Valley Honey,Detroit,MI,48209,shipping@echovalleyhoney.example,OK
91,Flint River Tiles,Dallas,TX,75212,shipping@flintrivertiles.example,Hold
92,Goldleaf Jewelry Dist,Chicago,IL,60608,shipping@goldleafjewelrydis.example,OK
93,Hawk Ridge Timber,Houston,TX,77029,shipping@hawkridgetimber.example,Hold
94,Inlet Fisheries,Phoenix,AZ,85043,shipping@inletfisheries.example,OK
95,Jade Garden Produce,Charlotte,NC,28208,shipping@jadegardenproduce.example,OK
96,Kelp Coast Supplements,Minneapolis,MN,55401,shipping@kelpcoastsupplemen.example,Hold
97,Lantern Oil Co,St. Louis,MO,63102,shipping@lanternoilco.example,OK
98,Mesa Verde Pottery,Baltimore,MD,21224,shipping@mesaverdepottery.example,OK
99,Northgate Batteries,Salt Lake City,UT,84104,shipping@northgatebatteries.example,OK
100,Oxbow Leather,El Paso,TX,79901,shipping@oxbowleather.example,OK
101,Pinecrest Doors,Dallas,TX,75212,shipping@pinecrestdoors.example,OK
102,Quill Ink Supplies,Miami,FL,33142,shipping@quillinksupplies.example,OK
103,Ravenna Glassworks,Phoenix,AZ,85043,shipping@ravennaglassworks.example,OK
104,Sagebrush Spices,Charlotte,NC,28208,shipping@sagebrushspices.example,OK
105,Timberline Roofing Dist,Houston,TX,77029,shipping@timberlineroofingd.example,OK
106,Umber Paints,Denver,CO,80216,shipping@umberpaints.example,OK
107,Vesper Candles,Columbus,OH,43215,shipping@vespercandles.example,OK
108,Wren & Co Home,Portland,OR,97210,shipping@wrencohome.example,Hold
109,Xylem Irrigation,Nashville,TN,37210,shipping@xylemirrigation.example,OK
110,Yellowbird Hot Sauce,Cleveland,OH,44113,shipping@yellowbirdhotsauce.example,OK
111,Zinc Coatings Midwest,Atlanta,GA,30318,shipping@zinccoatingsmidwes.example,OK
112,Alabaster Lighting,Newark,NJ,07105,shipping@alabasterlighting.example,OK
113,Boreal Furs Replica,Los Angeles,CA,90021,shipping@borealfursreplica.example,OK
114,Cobalt Machine Parts,Denver,CO,80216,shipping@cobaltmachineparts.example,OK
115,Dovetail Joinery,Jacksonville,FL,32218,shipping@dovetailjoinery.example,OK
116,Ember Stoves,Chicago,IL,60608,shipping@emberstoves.example,OK
117,Ferris Wheel Candy,Kansas City,MO,64120,shipping@ferriswheelcandy.example,OK
118,Gable Roofing Supply,Philadelphia,PA,19148,shipping@gableroofingsupply.example,OK
119,Hawthorn Tea Co,Boise,ID,83702,shipping@hawthornteaco.example,OK
120,Iris Botanical,Albuquerque,NM,87102,shipping@irisbotanical.example,OK
